videoId;author;text;publishedAt;likeCount;search_keyword;video_title;;;;
Th_G-abA5sw;@simulator_gaming6789;Gausah menghujat, apapun mobilnya bersyukur kalo udh punya, jangan maksa punya yg bagus kalo gak mampu. Yg biasa juga gpp yg penting bisa bawa keluarga;2025-01-02T04:41:43Z;5;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@lapendos86squad;Innova bensin pun kalau nanjak extrim pasti ngos2an;2025-01-02T03:34:59Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@JaggalKaent;Lcgc gak gitu amat x gw mke kuat ko...;2024-12-30T19:14:28Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@Jevin_cinta_video_andiss;Tim calya;2024-12-29T05:51:22Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@mopayudityagunawan5824;livina juga kek gtu bos penggerak depan kaya gt;2024-12-29T04:21:08Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@Hendra_Santosa11;Calya saya tanjakan exterem 50 meter aman aman ajah bawa 7 orang 😊;2024-12-29T00:52:22Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@muhdsyahir-t1h;kenapa mobil indo slali gk kuat nanjak tpi mobil malay kuat?😊;2024-12-28T15:21:22Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@gavynarkana;Selalu bersyukur;2024-12-28T11:11:27Z;2;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@mugnilabib9432;Klo bensin juga sama aja suka loyo😂;2024-12-27T16:55:34Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@melkhirinaldi6552;Yang pnting punya sih;2024-12-26T16:25:35Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@dwiratnasari2745;emang knp kalo LCGC.. toh beli pake uang sendiri.. gak pake uangmu;2024-12-23T13:54:23Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@ekoharyanto8356;Kebanyak user lgcg baru belajar mobil jg ga ngerti torsi dan power mesinnya dimana jdi lebay dah kalo nanjak😂;2024-12-23T13:46:40Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@agusdwi3665;Semua tergantung driver;2024-12-23T13:28:49Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@JejakRobot;Apa yang mau diandalkan mobil 3 baris dengan mesin 1000cc selain iritnya.;2024-12-23T11:36:58Z;1;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@ajiwibowo4342;Daripada beli calya sigra mending avanza rwd seken lah yang murah 1300 manual aja udah cukup buat nanjak nanjak;2024-12-23T10:49:53Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
